sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
6,1903394118,38827,1642222207,38.417519,991.615784,28.495512,85388928,2,1,0,0
7,1903382597,38831,1642222207,38.030136,991.648621,28.753166,61091588,2,1,0,0
4,1903401543,38960,1642222207,37.464424,991.52417,29.531086,102400000,2,1,0,0
0,1903370310,38974,1642222207,36.035789,991.886902,31.311016,101331272,2,1,0,0
3,1903384649,38979,1642222207,36.879356,991.87146,29.89979,102400000,2,1,0,0
1,1903376405,43013,1642222211,36.00721,992.128357,31.666424,102400000,3,1,0,0
2,1903386950,43017,1642222211,36.458714,991.721985,30.310961,53140888,3,1,0,0
4,1903401543,43021,1642222211,37.339008,991.519958,29.486044,102400000,3,1,0,0
5,1903406917,43025,1642222211,37.081715,991.715576,29.762257,102400000,3,1,0,0
6,1903394118,43029,1642222211,38.369816,991.589966,28.451721,67406528,3,1,0,0
7,1903382597,43033,1642222211,37.974155,991.635742,28.703102,50123136,3,1,0,0
0,1903370310,43036,1642222211,35.927166,991.868713,31.363836,85056456,3,1,0,0
3,1903384649,43040,1642222211,36.629372,991.84491,30.001287,102400000,3,1,0,0
1,1903376405,43713,1642222212,36.694374,992.142456,31.771641,6964506,4,1,0,0
2,1903386950,43717,1642222212,37.116306,991.697998,30.400463,3230921,4,1,0,0
4,1903401543,43721,1642222212,38.048874,991.518433,29.578783,8921318,4,1,0,0
5,1903406917,43725,1642222212,37.780666,991.698792,29.85977,8950560,4,1,0,0
6,1903394118,43729,1642222212,39.082848,991.573792,28.543402,3404113.75,4,1,0,0
7,1903382597,43733,1642222212,38.676491,991.602173,28.788422,3176425,4,1,0,0
0,1903370310,43736,1642222212,36.601646,991.891479,31.479759,4435300.5,4,1,0,0
3,1903384649,43740,1642222212,37.346504,991.841614,30.169333,7031759.5,4,1,0,0
1,1903376405,44413,1642222213,36.956154,992.144836,31.796886,6319768.5,5,1,0,0
2,1903386950,44417,1642222213,37.384403,991.694824,30.414026,2888575.5,5,1,0,0
4,1903401543,44421,1642222213,38.327301,991.493042,29.581779,8118929.5,5,1,0,0
5,1903406917,44425,1642222213,38.078789,991.706543,29.848181,8210473.5,5,1,0,0
6,1903394118,44429,1642222213,39.374084,991.582458,28.518425,3145325.5,5,1,0,0
7,1903382597,44433,1642222213,38.969128,991.617493,28.786453,2849391.25,5,1,0,0
0,1903370310,44437,1642222213,36.839104,991.901855,31.479454,4035468,5,1,0,0
3,1903384649,44440,1642222213,37.631844,991.856018,30.252542,6367664,5,1,0,0
1,1903376405,45113,1642222213,37.06942,992.14624,31.734835,5795543,6,1,0,0
2,1903386950,45117,1642222213,37.503277,991.696411,30.373734,2655429.5,6,1,0,0
4,1903401543,45121,1642222213,38.485329,991.486206,29.523182,7525953,6,1,0,0
5,1903406917,45125,1642222213,38.221584,991.723816,29.794405,7766769.5,6,1,0,0
6,1903394118,45129,1642222213,39.524727,991.597351,28.435579,2870357.5,6,1,0,0
7,1903382597,45133,1642222213,39.11927,991.654968,28.709572,2652849.75,6,1,0,0
0,1903370310,45137,1642222213,36.950256,991.918274,31.449812,3711826,6,1,0,0
3,1903384649,45140,1642222213,37.778297,991.889038,30.158302,5820248.5,6,1,0,0
1,1903376405,45814,1642222214,37.542641,992.136292,31.718756,669062.375,7,1,0,0
2,1903386950,45817,1642222214,37.983833,991.674927,30.344337,405785.625,7,1,0,0
4,1903401543,45821,1642222214,38.961922,991.496216,29.476866,856366.3125,7,1,0,0
5,1903406917,45825,1642222214,38.715115,991.68927,29.778522,847331.375,7,1,0,0
6,1903394118,45829,1642222214,40.014313,991.569519,28.38294,436953.2813,7,1,0,0
7,1903382597,45833,1642222214,39.620579,991.638367,28.658522,414407.125,7,1,0,0
0,1903370310,45837,1642222214,37.387283,991.876099,31.411079,501469.1563,7,1,0,0
